                                                            ZZGSES       1249125159937519332002402625                                                      20251128               
                                                            GSE  S       0832750106625012888001601750                                                      20260101
9999900000NON-METRO                                         GSE  S02600000832750106625012888001601750GA171GEORGIA                   LAMAR                  2026010105990002024
4666000000VALDOSTA, GA                                      GSE  S02350000832750106625012888001601750GA173GEORGIA                   LANIER                 2026010102350002025
2014000000DUBLIN, GA                                        GSE  S01450000832750106625012888001601750GA175GEORGIA                   LAURENS                2026010101450002025
1050000000ALBANY, GA                                        GSE  S02450000832750106625012888001601750GA177GEORGIA                   LEE                    2026010102450002025
2598000000HINESVILLE, GA                                    GSE  S02770000832750106625012888001601750GA179GEORGIA                   LIBERTY                2026010102770002025
1226000000AUGUSTA-RICHMOND COUNTY, GA-SC                    GSE  S03150000832750106625012888001601750GA181GEORGIA                   LINCOLN                2026010103150002025
2598000000HINESVILLE, GA                                    GSE  S02770000832750106625012888001601750GA183GEORGIA                   LONG                   2026010102770002025
4666000000VALDOSTA, GA                                      GSE  S02350000832750106625012888001601750GA185GEORGIA                   LOWNDES                2026010102350002025
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA187GEORGIA                   LUMPKIN                2026010106250002025
1226000000AUGUSTA-RICHMOND COUNTY, GA-SC                    GSE  S03150000832750106625012888001601750GA189GEORGIA                   MCDUFFIE               2026010103150002025
1526000000BRUNSWICK-ST. SIMONS, GA                          GSE  S03300000832750106625012888001601750GA191GEORGIA                   MCINTOSH               2026010103300002025
9999900000NON-METRO                                         GSE  S00850000832750106625012888001601750GA193GEORGIA                   MACON                  2026010101000002008
1202000000ATHENS-CLARKE COUNTY, GA                          GSE  S05360000832750106625012888001601750GA195GEORGIA                   MADISON                2026010105360002025
1798000000COLUMBUS, GA-AL                                   GSE  S03250000832750106625012888001601750GA197GEORGIA                   MARION                 2026010103250002025
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA199GEORGIA                   MERIWETHER             2026010106250002025
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750GA201GEORGIA                   MILLER                 2026010101180002008
9999900000NON-METRO                                         GSE  S01220000832750106625012888001601750GA205GEORGIA                   MITCHELL               2026010101220002025
3142000000MACON-BIBB COUNTY, GA                             GSE  S02500000832750106625012888001601750GA207GEORGIA                   MONROE                 2026010102500002025
4708000000VIDALIA, GA                                       GSE  S01100000832750106625012888001601750GA209GEORGIA                   MONTGOMERY             2026010101170002008
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA211GEORGIA                   MORGAN                 2026010106250002025
1914000000DALTON, GA                                        GSE  S02330000832750106625012888001601750GA213GEORGIA                   MURRAY                 2026010102330002025
1798000000COLUMBUS, GA-AL                                   GSE  S03250000832750106625012888001601750GA215GEORGIA                   MUSCOGEE               2026010103250002025
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA217GEORGIA                   NEWTON                 2026010106250002025
1202000000ATHENS-CLARKE COUNTY, GA                          GSE  S05360000832750106625012888001601750GA219GEORGIA                   OCONEE                 2026010105360002025
1202000000ATHENS-CLARKE COUNTY, GA                          GSE  S05360000832750106625012888001601750GA221GEORGIA                   OGLETHORPE             2026010105360002025
1206031924ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA223GEORGIA                   PAULDING               2026010106250002025
4758000000WARNER ROBINS, GA                                 GSE  S02590000832750106625012888001601750GA225GEORGIA                   PEACH                  2026010102590002025
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA227GEORGIA                   PICKENS                2026010106250002025
4818000000WAYCROSS, GA                                      GSE  S01400000832750106625012888001601750GA229GEORGIA                   PIERCE                 2026010101400002025
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA231GEORGIA                   PIKE                   2026010106250002025
1634000000CEDARTOWN, GA                                     GSE  S01950000832750106625012888001601750GA233GEORGIA                   POLK                   2026010101950002025
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750GA235GEORGIA                   PULASKI                2026010101400002025
9999900000NON-METRO                                         GSE  S03110000832750106625012888001601750GA237GEORGIA                   PUTNAM                 2026010103110002025
2164000000EUFAULA, AL-GA                                    GSE  S01470000832750106625012888001601750GA239GEORGIA                   QUITMAN                2026010101470002025
9999900000NON-METRO                                         GSE  S02850000832750106625012888001601750GA241GEORGIA                   RABUN                  2026010102850002025
9999900000NON-METRO                                         GSE  S00700000832750106625012888001601750GA243GEORGIA                   RANDOLPH               2026010100970002008
1226000000AUGUSTA-RICHMOND COUNTY, GA-SC                    GSE  S03150000832750106625012888001601750GA245GEORGIA                   RICHMOND               2026010103150002025
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA247GEORGIA                   ROCKDALE               2026010106250002025
1114000000AMERICUS, GA                                      GSE  S01390000832750106625012888001601750GA249GEORGIA                   SCHLEY                 2026010101390002025
9999900000NON-METRO                                         GSE  S00840000832750106625012888001601750GA251GEORGIA                   SCREVEN                2026010100980002008
9999900000NON-METRO                                         GSE  S00750000832750106625012888001601750GA253GEORGIA                   SEMINOLE               2026010101180002024
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA255GEORGIA                   SPALDING               2026010106250002025
4574000000TOCCOA, GA                                        GSE  S02000000832750106625012888001601750GA257GEORGIA                   STEPHENS               2026010102000002025
1798000000COLUMBUS, GA-AL                                   GSE  S03250000832750106625012888001601750GA259GEORGIA                   STEWART                2026010103250002025
1114000000AMERICUS, GA                                      GSE  S01390000832750106625012888001601750GA261GEORGIA                   SUMTER                 2026010101390002025
1798000000COLUMBUS, GA-AL                                   GSE  S03250000832750106625012888001601750GA263GEORGIA                   TALBOT                 2026010103250002025
9999900000NON-METRO                                         GSE  S00750000832750106625012888001601750GA265GEORGIA                   TALIAFERRO             2026010101210002024
9999900000NON-METRO                                         GSE  S01090000832750106625012888001601750GA267GEORGIA                   TATTNALL               2026010101190002008
9999900000NON-METRO                                         GSE  S00740000832750106625012888001601750GA269GEORGIA                   TAYLOR                 2026010101100002008
9999900000NON-METRO                                         GSE  S00550000832750106625012888001601750GA271GEORGIA                   TELFAIR                2026010100830002008
1050000000ALBANY, GA                                        GSE  S02450000832750106625012888001601750GA273GEORGIA                   TERRELL                2026010102450002025
4562000000THOMASVILLE, GA                                   GSE  S02250000832750106625012888001601750GA275GEORGIA                   THOMAS                 2026010102250002025
4570000000TIFTON, GA                                        GSE  S02150000832750106625012888001601750GA277GEORGIA                   TIFT                   2026010102150002025
4708000000VIDALIA, GA                                       GSE  S01100000832750106625012888001601750GA279GEORGIA                   TOOMBS                 2026010101170002008
9999900000NON-METRO                                         GSE  S02390000832750106625012888001601750GA281GEORGIA                   TOWNS                  2026010102390002025
9999900000NON-METRO                                         GSE  S00470000832750106625012888001601750GA283GEORGIA                   TREUTLEN               2026010101340002008
2930000000LAGRANGE, GA-AL                                   GSE  S02150000832750106625012888001601750GA285GEORGIA                   TROUP                  2026010102150002025
4570000000TIFTON, GA                                        GSE  S02150000832750106625012888001601750GA287GEORGIA                   TURNER                 2026010102150002025
3142000000MACON-BIBB COUNTY, GA                             GSE  S02500000832750106625012888001601750GA289GEORGIA                   TWIGGS                 2026010102500002025
9999900000NON-METRO                                         GSE  S02200000832750106625012888001601750GA291GEORGIA                   UNION                  2026010102200002025
4558000000THOMASTON, GA                                     GSE  S01650000832750106625012888001601750GA293GEORGIA                   UPSON                  2026010101650002025
1686000000CHATTANOOGA, TN-GA                                GSE  S03500000832750106625012888001601750GA295GEORGIA                   WALKER                 2026010103500002025
1206012054ATLANTA-SANDY SPRINGS-ROSWELL, GA                 GSE  S06250000832750106625012888001601750GA297GEORGIA                   WALTON                 2026010106250002025
4818000000WAYCROSS, GA                                      GSE  S01400000832750106625012888001601750GA299GEORGIA                   WARE                   2026010101400002025
9999900000NON-METRO                                         GSE  S00700000832750106625012888001601750GA301GEORGIA                   WARREN                 2026010101430002008
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750GA303GEORGIA                   WASHINGTON             2026010101060002008
2770000000JESUP, GA                                         GSE  S01630000832750106625012888001601750GA305GEORGIA                   WAYNE                  2026010101630002025
9999900000NON-METRO                                         GSE  S00500000832750106625012888001601750GA307GEORGIA                   WEBSTER                2026010100890002023
9999900000NON-METRO                                         GSE  S00840000832750106625012888001601750GA309GEORGIA                   WHEELER                2026010101000002024
9999900000NON-METRO                                         GSE  S02950000832750106625012888001601750GA311GEORGIA                   WHITE                  2026010102950002025
1914000000DALTON, GA                                        GSE  S02330000832750106625012888001601750GA313GEORGIA                   WHITFIELD              2026010102330002025
9999900000NON-METRO                                         GSE  S00600000832750106625012888001601750GA315GEORGIA                   WILCOX                 2026010100980002008
9999900000NON-METRO                                         GSE  S01270000832750106625012888001601750GA317GEORGIA                   WILKES                 2026010101270002025
9999900000NON-METRO                                         GSE  S00860000832750106625012888001601750GA319GEORGIA                   WILKINSON              2026010101190002008
1050000000ALBANY, GA                                        GSE  S02450000832750106625012888001601750GA321GEORGIA                   WORTH                  2026010102450002025
9999900000NON-METRO                                         GSE  S04440001249125159937519332002402625GU010GUAM                      GUAM                   2026010104900002008
2590000000HILO-KAILUA, HI                                   GSE  S05100001249125159937519332002402625HI001HAWAII                    HAWAII                 2026010105100002025
4652000000URBAN HONOLULU, HI                                GSE  S07200001249125159937519332002402625HI003HAWAII                    HONOLULU               2026010107200002025
2798000000KAHULUI-WAILUKU, HI                               GSE  H11300001299500166360020109502499100HI005HAWAII                    KALAWAO                2026010111300002025
2818000000KAPAA, HI                                         GSE  S09320001249125159937519332002402625HI007HAWAII                    KAUAI                  2026010109660002024
2798000000KAHULUI-WAILUKU, HI                               GSE  H11300001299500166360020109502499100HI009HAWAII                    MAUI                   2026010111300002025
9999900000NON-METRO                                         GSE  S00750000832750106625012888001601750IA001IOWA                      ADAIR                  2026010101230002021
9999900000NON-METRO                                         GSE  S00850000832750106625012888001601750IA003IOWA                      ADAMS                  2026010101030002021
9999900000NON-METRO                                         GSE  S01560000832750106625012888001601750IA005IOWA                      ALLAMAKEE              2026010101560002025
9999900000NON-METRO                                         GSE  S01090000832750106625012888001601750IA007IOWA                      APPANOOSE              2026010101090002025
9999900000NON-METRO                                         GSE  S01130000832750106625012888001601750IA009IOWA                      AUDUBON                2026010101130002025
1630000000CEDAR RAPIDS, IA                                  GSE  S02150000832750106625012888001601750IA011IOWA                      BENTON                 2026010102150002025
4794000000WATERLOO-CEDAR FALLS, IA                          GSE  S01910000832750106625012888001601750IA013IOWA                      BLACK HAWK             2026010101910002024
1118000000AMES, IA                                          GSE  S02660000832750106625012888001601750IA015IOWA                      BOONE                  2026010102660002025
4794000000WATERLOO-CEDAR FALLS, IA                          GSE  S01910000832750106625012888001601750IA017IOWA                      BREMER                 2026010101910002024
9999900000NON-METRO                                         GSE  S01600000832750106625012888001601750IA019IOWA                      BUCHANAN               2026010101660002024
4474000000STORM LAKE, IA                                    GSE  S01600000832750106625012888001601750IA021IOWA                      BUENA VISTA            2026010101620002024
9999900000NON-METRO                                         GSE  S01450000832750106625012888001601750IA023IOWA                      BUTLER                 2026010101450002025
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750IA025IOWA                      CALHOUN                2026010101060002024
1614000000CARROLL, IA                                       GSE  S01550000832750106625012888001601750IA027IOWA                      CARROLL                2026010101550002025
9999900000NON-METRO                                         GSE  S01150000832750106625012888001601750IA029IOWA                      CASS                   2026010101150002025
9999900000NON-METRO                                         GSE  S01990000832750106625012888001601750IA031IOWA                      CEDAR                  2026010101990002025
3238000000MASON CITY, IA                                    GSE  S01680000832750106625012888001601750IA033IOWA                      CERRO GORDO            2026010101680002025
9999900000NON-METRO                                         GSE  S01200000832750106625012888001601750IA035IOWA                      CHEROKEE               2026010101260002024
9999900000NON-METRO                                         GSE  S01430000832750106625012888001601750IA037IOWA                      CHICKASAW              2026010101430002025
9999900000NON-METRO                                         GSE  S01360000832750106625012888001601750IA039IOWA                      CLARKE                 2026010101360002025
4398000000SPENCER, IA                                       GSE  S01480000832750106625012888001601750IA041IOWA                      CLAY                   2026010101600002024
9999900000NON-METRO                                         GSE  S01500000832750106625012888001601750IA043IOWA                      CLAYTON                2026010101500002025
1754000000CLINTON, IA                                       GSE  S01340000832750106625012888001601750IA045IOWA                      CLINTON                2026010101340002025
9999900000NON-METRO                                         GSE  S01470000832750106625012888001601750IA047IOWA                      CRAWFORD               2026010101470002025
1978000000DES MOINES-WEST DES MOINES, IA                    GSE  S03580000832750106625012888001601750IA049IOWA                      DALLAS                 2026010103580002025
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750IA051IOWA                      DAVIS                  2026010101450002020
9999900000NON-METRO                                         GSE  S00940000832750106625012888001601750IA053IOWA                      DECATUR                2026010101030002013
9999900000NON-METRO                                         GSE  S01940000832750106625012888001601750IA055IOWA                      DELAWARE               2026010101940002025
1546000000BURLINGTON, IA-IL                                 GSE  S01390000832750106625012888001601750IA057IOWA                      DES MOINES             2026010101890002022
4402000000SPIRIT LAKE, IA                                   GSE  S03600000832750106625012888001601750IA059IOWA                      DICKINSON              2026010103600002025
2022000000DUBUQUE, IA                                       GSE  S02350000832750106625012888001601750IA061IOWA                      DUBUQUE                2026010102350002025
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750IA063IOWA                      EMMET                  2026010101100002025
9999900000NON-METRO                                         GSE  S01120000832750106625012888001601750IA065IOWA                      FAYETTE                2026010101120002025
9999900000NON-METRO                                         GSE  S01150000832750106625012888001601750IA067IOWA                      FLOYD                  2026010101150002024
9999900000NON-METRO                                         GSE  S01140000832750106625012888001601750IA069IOWA                      FRANKLIN               2026010101140002025
9999900000NON-METRO                                         GSE  S01470000832750106625012888001601750IA071IOWA                      FREMONT                2026010101470002025
9999900000NON-METRO                                         GSE  S01210000832750106625012888001601750IA073IOWA                      GREENE                 2026010101210002025
4794000000WATERLOO-CEDAR FALLS, IA                          GSE  S01910000832750106625012888001601750IA075IOWA                      GRUNDY                 2026010101910002024
1978000000DES MOINES-WEST DES MOINES, IA                    GSE  S03580000832750106625012888001601750IA077IOWA                      GUTHRIE                2026010103580002025
9999900000NON-METRO                                         GSE  S01200000832750106625012888001601750IA079IOWA                      HAMILTON               2026010101550002021
9999900000NON-METRO                                         GSE  S01430000832750106625012888001601750IA081IOWA                      HANCOCK                2026010101430002025
9999900000NON-METRO                                         GSE  S01250000832750106625012888001601750IA083IOWA                      HARDIN                 2026010101250002025
3654000000OMAHA, NE-IA                                      GSE  S03450000832750106625012888001601750IA085IOWA                      HARRISON               2026010103450002025
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750IA087IOWA                      HENRY                  2026010101460002023
9999900000NON-METRO                                         GSE  S01240000832750106625012888001601750IA089IOWA                      HOWARD                 2026010101270002023
9999900000NON-METRO                                         GSE  S01380000832750106625012888001601750IA091IOWA                      HUMBOLDT               2026010101380002025
9999900000NON-METRO                                         GSE  S00950000832750106625012888001601750IA093IOWA                      IDA                    2026010101130002021
9999900000NON-METRO                                         GSE  S01640000832750106625012888001601750IA095IOWA                      IOWA                   2026010101640002025
9999900000NON-METRO                                         GSE  S01600000832750106625012888001601750IA097IOWA                      JACKSON                2026010101600002025
1978000000DES MOINES-WEST DES MOINES, IA                    GSE  S03580000832750106625012888001601750IA099IOWA                      JASPER                 2026010103580002025
9999900000NON-METRO                                         GSE  S01470000832750106625012888001601750IA101IOWA                      JEFFERSON              2026010101470002025
2698000000IOWA CITY, IA                                     GSE  S03470000832750106625012888001601750IA103IOWA                      JOHNSON                2026010103470002025
1630000000CEDAR RAPIDS, IA                                  GSE  S02150000832750106625012888001601750IA105IOWA                      JONES                  2026010102150002025
9999900000NON-METRO                                         GSE  S00870000832750106625012888001601750IA107IOWA                      KEOKUK                 2026010100950002023
9999900000NON-METRO                                         GSE  S01200000832750106625012888001601750IA109IOWA                      KOSSUTH                2026010101200002025
2280000000FORT MADISON, IA                                  GSE  S00900000832750106625012888001601750IA111IOWA                      LEE                    2026010101250002024
1630000000CEDAR RAPIDS, IA                                  GSE  S02150000832750106625012888001601750IA113IOWA                      LINN                   2026010102150002025
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750IA115IOWA                      LOUISA                 2026010101070002017
9999900000NON-METRO                                         GSE  S01350000832750106625012888001601750IA117IOWA                      LUCAS                  2026010101350002025
9999900000NON-METRO                                         GSE  S01550000832750106625012888001601750IA119IOWA                      LYON                   2026010101670002024
1978000000DES MOINES-WEST DES MOINES, IA                    GSE  S03580000832750106625012888001601750IA121IOWA                      MADISON                2026010103580002025
3682000000OSKALOOSA, IA                                     GSE  S01500000832750106625012888001601750IA123IOWA                      MAHASKA                2026010101500002025
3780000000PELLA, IA                                         GSE  S02150000832750106625012888001601750IA125IOWA                      MARION                 2026010102150002025
3226000000MARSHALLTOWN, IA                                  GSE  S01350000832750106625012888001601750IA127IOWA                      MARSHALL               2026010101350002025
3654000000OMAHA, NE-IA                                      GSE  S03450000832750106625012888001601750IA129IOWA                      MILLS                  2026010103450002025
9999900000NON-METRO                                         GSE  S01460000832750106625012888001601750IA131IOWA                      MITCHELL               2026010101640002024
9999900000NON-METRO                                         GSE  S00910000832750106625012888001601750IA133IOWA                      MONONA                 2026010101050002023
9999900000NON-METRO                                         GSE  S01180000832750106625012888001601750IA135IOWA                      MONROE                 2026010101180002025
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750IA137IOWA                      MONTGOMERY             2026010101000002021
3470000000MUSCATINE, IA                                     GSE  S01600000832750106625012888001601750IA139IOWA                      MUSCATINE              2026010101600002025
9999900000NON-METRO                                         GSE  S01490000832750106625012888001601750IA141IOWA                      O'BRIEN                2026010101490002025
9999900000NON-METRO                                         GSE  S01150000832750106625012888001601750IA143IOWA                      OSCEOLA                2026010101150002025
9999900000NON-METRO                                         GSE  S01080000832750106625012888001601750IA145IOWA                      PAGE                   2026010101080002025
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750IA147IOWA                      PALO ALTO              2026010101190002024
3018000000LE MARS, IA                                       GSE  S02220000832750106625012888001601750IA149IOWA                      PLYMOUTH               2026010102220002025
9999900000NON-METRO                                         GSE  S00860000832750106625012888001601750IA151IOWA                      POCAHONTAS             2026010100860002025
1978000000DES MOINES-WEST DES MOINES, IA                    GSE  S03580000832750106625012888001601750IA153IOWA                      POLK                   2026010103580002025
3654000000OMAHA, NE-IA                                      GSE  S03450000832750106625012888001601750IA155IOWA                      POTTAWATTAMIE          2026010103450002025
9999900000NON-METRO                                         GSE  S01650000832750106625012888001601750IA157IOWA                      POWESHIEK              2026010101650002025
9999900000NON-METRO                                         GSE  S00820000832750106625012888001601750IA159IOWA                      RINGGOLD               2026010101060002008
9999900000NON-METRO                                         GSE  S01030000832750106625012888001601750IA161IOWA                      SAC                    2026010101050002024
1934000000DAVENPORT-MOLINE-ROCK ISLAND, IA-IL               GSE  S02250000832750106625012888001601750IA163IOWA                      SCOTT                  2026010102250002025
9999900000NON-METRO                                         GSE  S01610000832750106625012888001601750IA165IOWA                      SHELBY                 2026010101610002025
9999900000NON-METRO                                         GSE  S02280000832750106625012888001601750IA167IOWA                      SIOUX                  2026010102280002025
1118000000AMES, IA                                          GSE  S02660000832750106625012888001601750IA169IOWA                      STORY                  2026010102660002025
9999900000NON-METRO                                         GSE  S01350000832750106625012888001601750IA171IOWA                      TAMA                   2026010101350002025
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750IA173IOWA                      TAYLOR                 2026010101000002025
9999900000NON-METRO                                         GSE  S01150000832750106625012888001601750IA175IOWA                      UNION                  2026010101150002025
9999900000NON-METRO                                         GSE  S00720000832750106625012888001601750IA177IOWA                      VAN BUREN              2026010100840002024
3690000000OTTUMWA, IA                                       GSE  S00900000832750106625012888001601750IA179IOWA                      WAPELLO                2026010101000002024
1978000000DES MOINES-WEST DES MOINES, IA                    GSE  S03580000832750106625012888001601750IA181IOWA                      WARREN                 2026010103580002025
2698000000IOWA CITY, IA                                     GSE  S03470000832750106625012888001601750IA183IOWA                      WASHINGTON             2026010103470002025
9999900000NON-METRO                                         GSE  S00760000832750106625012888001601750IA185IOWA                      WAYNE                  2026010101000002021
2270000000FORT DODGE, IA                                    GSE  S01190000832750106625012888001601750IA187IOWA                      WEBSTER                2026010101190002025
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750IA189IOWA                      WINNEBAGO              2026010101400002025
9999900000NON-METRO                                         GSE  S02350000832750106625012888001601750IA191IOWA                      WINNESHIEK             2026010102350002025
4358000000SIOUX CITY, IA-NE-SD                              GSE  S02850000832750106625012888001601750IA193IOWA                      WOODBURY               2026010103590002023
3238000000MASON CITY, IA                                    GSE  S01680000832750106625012888001601750IA195IOWA                      WORTH                  2026010101680002025
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750IA197IOWA                      WRIGHT                 2026010101000002025
1426000000BOISE CITY, ID                                    GSE  S04910000832750106625012888001601750ID001IDAHO                     ADA                    2026010105100002022
9999900000NON-METRO                                         GSE  S03550000832750106625012888001601750ID003IDAHO                     ADAMS                  2026010103550002025
3854000000POCATELLO, ID                                     GSE  S03310000832750106625012888001601750ID005IDAHO                     BANNOCK                2026010103310002025
9999900000NON-METRO                                         GSE  S03340000832750106625012888001601750ID007IDAHO                     BEAR LAKE              2026010103340002025
9999900000NON-METRO                                         GSE  S02500000832750106625012888001601750ID009IDAHO                     BENEWAH                2026010102500002025
1394000000BLACKFOOT, ID                                     GSE  S03360000832750106625012888001601750ID011IDAHO                     BINGHAM                2026010103360002025
2520000000HAILEY, ID                                        GSE  S06570000832750106625012888001601750ID013IDAHO                     BLAINE                 2026010106600002023
1426000000BOISE CITY, ID                                    GSE  S04910000832750106625012888001601750ID015IDAHO                     BOISE                  2026010105100002022
4176000000SANDPOINT, ID                                     GSE  S04400000832750106625012888001601750ID017IDAHO                     BONNER                 2026010104550002022
2682000000IDAHO FALLS, ID                                   GSE  S04100000832750106625012888001601750ID019IDAHO                     BONNEVILLE             2026010104150002024
9999900000NON-METRO                                         GSE  S03450000832750106625012888001601750ID021IDAHO                     BOUNDARY               2026010103650002022
2682000000IDAHO FALLS, ID                                   GSE  S04100000832750106625012888001601750ID023IDAHO                     BUTTE                  2026010104150002024
2520000000HAILEY, ID                                        GSE  S06570000832750106625012888001601750ID025IDAHO                     CAMAS                  2026010106600002023
1426000000BOISE CITY, ID                                    GSE  S04910000832750106625012888001601750ID027IDAHO                     CANYON                 2026010105100002022
9999900000NON-METRO                                         GSE  S02900000832750106625012888001601750ID029IDAHO                     CARIBOU                2026010102900002025
1542000000BURLEY, ID                                        GSE  S03140000832750106625012888001601750ID031IDAHO                     CASSIA                 2026010103140002025
9999900000NON-METRO                                         GSE  S02740000832750106625012888001601750ID033IDAHO                     CLARK                  2026010102740002025
9999900000NON-METRO                                         GSE  S02320000832750106625012888001601750ID035IDAHO                     CLEARWATER             2026010102410002024
9999900000NON-METRO                                         GSE  S02980000832750106625012888001601750ID037IDAHO                     CUSTER                 2026010102980002025
3430000000MOUNTAIN HOME, ID                                 GSE  S03480000832750106625012888001601750ID039IDAHO                     ELMORE                 2026010103480002025
3086000000LOGAN, UT-ID                                      GSE  S04250000832750106625012888001601750ID041IDAHO                     FRANKLIN               2026010104300002023
3994000000REXBURG, ID                                       GSE  S03840000832750106625012888001601750ID043IDAHO                     FREMONT                2026010103860002024
1426000000BOISE CITY, ID                                    GSE  S04910000832750106625012888001601750ID045IDAHO                     GEM                    2026010105100002022
9999900000NON-METRO                                         GSE  S02800000832750106625012888001601750ID047IDAHO                     GOODING                2026010102810002024
9999900000NON-METRO                                         GSE  S02840000832750106625012888001601750ID049IDAHO                     IDAHO                  2026010102840002025
2682000000IDAHO FALLS, ID                                   GSE  S04100000832750106625012888001601750ID051IDAHO                     JEFFERSON              2026010104150002024
4630000000TWIN FALLS, ID                                    GSE  S03340000832750106625012888001601750ID053IDAHO                     JEROME                 2026010103340002025
1766000000COEUR D'ALENE, ID                                 GSE  S04980000832750106625012888001601750ID055IDAHO                     KOOTENAI               2026010104980002022
3414000000MOSCOW, ID                                        GSE  S03980000832750106625012888001601750ID057IDAHO                     LATAH                  2026010104140002023
9999900000NON-METRO                                         GSE  S03140000832750106625012888001601750ID059IDAHO                     LEMHI                  2026010103140002025
9999900000NON-METRO                                         GSE  S02530000832750106625012888001601750ID061IDAHO                     LEWIS                  2026010102530002025
2520000000HAILEY, ID                                        GSE  S06570000832750106625012888001601750ID063IDAHO                     LINCOLN                2026010106570002025
3994000000REXBURG, ID                                       GSE  S03840000832750106625012888001601750ID065IDAHO                     MADISON                2026010103860002024
1542000000BURLEY, ID                                        GSE  S03140000832750106625012888001601750ID067IDAHO                     MINIDOKA               2026010103140002025
3030000000LEWISTON, ID-WA                                   GSE  S03570000832750106625012888001601750ID069IDAHO                     NEZ PERCE              2026010103570002025
1494000000BRIGHAM CITY, UT-ID                               GSE  S04010000832750106625012888001601750ID071IDAHO                     ONEIDA                 2026010104010002025
1426000000BOISE CITY, ID                                    GSE  S04910000832750106625012888001601750ID073IDAHO                     OWYHEE                 2026010105100002022
3662000000ONTARIO, OR-ID                                    GSE  S03350000832750106625012888001601750ID075IDAHO                     PAYETTE                2026010103500002022
9999900000NON-METRO                                         GSE  S02780000832750106625012888001601750ID077IDAHO                     POWER                  2026010103200002024
9999900000NON-METRO                                         GSE  S02820000832750106625012888001601750ID079IDAHO                     SHOSHONE               2026010102820002025
2722000000JACKSON, WY-ID                                    GSE  H17400001249125159937519332002402625ID081IDAHO                     TETON                  2026010117400002025
4630000000TWIN FALLS, ID                                    GSE  S03340000832750106625012888001601750ID083IDAHO                     TWIN FALLS             2026010103340002025
9999900000NON-METRO                                         GSE  S05350000832750106625012888001601750ID085IDAHO                     VALLEY                 2026010105350002025
9999900000NON-METRO                                         GSE  S02930000832750106625012888001601750ID087IDAHO                     WASHINGTON             2026010102930002025
3950000000QUINCY, IL-MO                                     GSE  S01590000832750106625012888001601750IL001ILLINOIS                  ADAMS                  2026010101590002025
1602000000CAPE GIRARDEAU, MO-IL                             GSE  S02310000832750106625012888001601750IL003ILLINOIS                  ALEXANDER              2026010102310002025
4118000000ST. LOUIS, MO-IL                                  GSE  S03700000832750106625012888001601750IL005ILLINOIS                  BOND                   2026010103700002025
4042000000ROCKFORD, IL                                      GSE  S03360000832750106625012888001601750IL007ILLINOIS                  BOONE                  2026010103360002025
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750IL009ILLINOIS                  BROWN                  2026010101100002025
3683700000OTTAWA, IL                                        GSE  S02800000832750106625012888001601750IL011ILLINOIS                  BUREAU                 2026010103200002023
4118000000ST. LOUIS, MO-IL                                  GSE  S03700000832750106625012888001601750IL013ILLINOIS                  CALHOUN                2026010103700002025
9999900000NON-METRO                                         GSE  S01260000832750106625012888001601750IL015ILLINOIS                  CARROLL                2026010101260002025
9999900000NON-METRO                                         GSE  S00730000832750106625012888001601750IL017ILLINOIS                  CASS                   2026010101020002022
1658000000CHAMPAIGN-URBANA, IL                              GSE  S02500000832750106625012888001601750IL019ILLINOIS                  CHAMPAIGN              2026010102500002025
4538000000TAYLORVILLE, IL                                   GSE  S01050000832750106625012888001601750IL021ILLINOIS                  CHRISTIAN              2026010101050002025
9999900000NON-METRO                                         GSE  S01180000832750106625012888001601750IL023ILLINOIS                  CLARK                  2026010101180002025
9999900000NON-METRO                                         GSE  S01010000832750106625012888001601750IL025ILLINOIS                  CLAY                   2026010101010002025
